id,hero_id,name,type,target,hits,atk_mult_pct,energy_gain,desc
300101,3001,赤焰·输出-普攻,basic,single,1,105,20,对敌方单体造成等同于{Attack}105%的火伤害
300102,3001,赤焰·输出-主动技能,skill,single,2,185,30,对敌方单体造成2段，每段{Attack}92%的火伤害
300103,3001,赤焰·输出-大招,ultimate,aoe,1,330,0,对敌方全体造成{Attack}330%的火伤害
300201,3002,青岚·控制-普攻,basic,single,1,85,20,对敌方单体造成等同于{Attack}85%的风伤害
300202,3002,青岚·控制-主动技能,skill,single,2,125,30,对敌方单体造成2段，每段{Attack}62%的风伤害
300203,3002,青岚·控制-大招,ultimate,aoe,1,200,0,对敌方全体造成{Attack}200%的风伤害
300301,3003,玄水·治疗-普攻,basic,single,1,70,20,对敌方单体造成等同于{Attack}70%的水伤害
300302,3003,玄水·治疗-主动技能,skill,single,2,95,30,对敌方单体造成2段，每段{Attack}47%的水伤害
300303,3003,玄水·治疗-大招,ultimate,aoe,1,140,0,对敌方全体造成{Attack}140%的水伤害
300401,3004,黄岩·护盾-普攻,basic,single,1,75,20,对敌方单体造成等同于{Attack}75%的土伤害
300402,3004,黄岩·护盾-主动技能,skill,single,2,100,30,对敌方单体造成2段，每段{Attack}50%的土伤害
300403,3004,黄岩·护盾-大招,ultimate,aoe,1,160,0,对敌方全体造成{Attack}160%的土伤害
300501,3005,白藏·拉条-普攻,basic,single,1,80,20,对敌方单体造成等同于{Attack}80%的风伤害
300502,3005,白藏·拉条-主动技能,skill,single,2,110,30,对敌方单体造成2段，每段{Attack}55%的风伤害
300503,3005,白藏·拉条-大招,ultimate,aoe,1,150,0,对敌方全体造成{Attack}150%的风伤害
300601,3006,紫电·单体-普攻,basic,single,1,110,20,对敌方单体造成等同于{Attack}110%的雷伤害
300602,3006,紫电·单体-主动技能,skill,single,2,195,30,对敌方单体造成2段，每段{Attack}97%的雷伤害
300603,3006,紫电·单体-大招,ultimate,aoe,1,300,0,对敌方全体造成{Attack}300%的雷伤害
